7.78,8.05,1.0,0.04,7.78,7.95,0.9,0.04,7.79,7.99,1.0,0.03
7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,7.79,7.99,1.0,0.03,7.77,8.09,0.9,0.04
7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,7.77,8.09,0.9,0.04,7.78,8.05,1.0,0.04
7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,7.78,8.05,1.0,0.04,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482
8.25,8.18,1.4,0.08,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482
8.12,8.38,1.8,0.12,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482
7.96,8.48,1.7,0.11,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,8.25,8.18,1.4,0.08
8.13,8.78,1.7,0.05,8.25,8.18,1.4,0.08,8.12,8.38,1.8,0.12
7.78,8.37,1.7,0.08,8.12,8.38,1.8,0.12,7.96,8.48,1.7,0.11
7.79,8.31,1.5,0.07,7.96,8.48,1.7,0.11,8.13,8.78,1.7,0.05
7.61,8.29,1.5,0.05,8.13,8.78,1.7,0.05,7.78,8.37,1.7,0.08
7.49,8.03,1.7,0.05,7.78,8.37,1.7,0.08,7.79,8.31,1.5,0.07
7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,7.79,8.31,1.5,0.07,7.61,8.29,1.5,0.05
7.77,8.83,1.7,0.09,7.61,8.29,1.5,0.05,7.49,8.03,1.7,0.05
7.72,9.08,1.7,0.08,7.49,8.03,1.7,0.05,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482
7.99,9.27,1.6,0.08,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,7.77,8.83,1.7,0.09
8.24,9.51,1.7,0.07,7.77,8.83,1.7,0.09,7.72,9.08,1.7,0.08
7.98,10.0,1.8,0.07,7.72,9.08,1.7,0.08,7.99,9.27,1.6,0.08
7.98,10.1,1.8,0.06,7.99,9.27,1.6,0.08,8.24,9.51,1.7,0.07
7.87,10.4,1.8,0.08,8.24,9.51,1.7,0.07,7.98,10.0,1.8,0.07
8.01,10.7,1.5,0.06,7.98,10.0,1.8,0.07,7.98,10.1,1.8,0.06
8.11,11.1,1.4,0.06,7.98,10.1,1.8,0.06,7.87,10.4,1.8,0.08
8.08,11.2,1.5,0.06,7.87,10.4,1.8,0.08,8.01,10.7,1.5,0.06
8.04,11.5,1.5,0.05,8.01,10.7,1.5,0.06,8.11,11.1,1.4,0.06
8.11,11.3,1.5,0.04,8.11,11.1,1.4,0.06,8.08,11.2,1.5,0.06
8.09,11.7,1.5,0.04,8.08,11.2,1.5,0.06,8.04,11.5,1.5,0.05
8.05,11.8,1.4,0.03,8.04,11.5,1.5,0.05,8.11,11.3,1.5,0.04
8.04,12.1,1.4,0.03,8.11,11.3,1.5,0.04,8.09,11.7,1.5,0.04
8.23,12.7,1.4,0.03,8.09,11.7,1.5,0.04,8.05,11.8,1.4,0.03
8.26,12.7,1.4,0.04,8.05,11.8,1.4,0.03,8.04,12.1,1.4,0.03
8.25,12.9,1.4,0.02,8.04,12.1,1.4,0.03,8.23,12.7,1.4,0.03
8.28,12.9,1.4,0.01,8.23,12.7,1.4,0.03,8.26,12.7,1.4,0.04
7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,8.26,12.7,1.4,0.04,8.25,12.9,1.4,0.02
8.2,12.9,1.4,0.06148817802503482,8.25,12.9,1.4,0.02,8.28,12.9,1.4,0.01
8.15,13.0,1.5,0.02,8.28,12.9,1.4,0.01,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482
8.09,13.0,1.6,0.05,7.980680555555559,9.635930555555557,1.68160237388724,0.06148817802503482,8.2,12.9,1.4,0.06148817802503482
8.09,12.5,1.5,0.04,8.2,12.9,1.4,0.06148817802503482,8.15,13.0,1.5,0.02
8.05,12.4,1.2,0.03,8.15,13.0,1.5,0.02,8.09,13.0,1.6,0.05
8.08,12.6,1.3,0.05,8.09,13.0,1.6,0.05,8.09,12.5,1.5,0.04
8.13,12.8,1.2,0.08,8.09,12.5,1.5,0.04,8.05,12.4,1.2,0.03
8.1,12.4,1.2,0.08,8.05,12.4,1.2,0.03,8.08,12.6,1.3,0.05
8.05,9.88,1.4,0.07,8.08,12.6,1.3,0.05,8.13,12.8,1.2,0.08
8.3,10.4,1.3,0.07,8.13,12.8,1.2,0.08,8.1,12.4,1.2,0.08
8.32,9.66,1.2,0.04,8.1,12.4,1.2,0.08,8.05,9.88,1.4,0.07
