8.21,8.1,5.8,0.31,8.07,10.6,4.2,0.77
7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675,8.21,8.1,5.8,0.31
8.23,7.74,9.6,0.78,7.55271162123386,7.0645310245310196,6.829886685552409,0.6948179271708675
8.25,9.24,5.2,0.54,8.23,7.74,9.6,0.78
8.1,9.14,7.6,0.96,8.25,9.24,5.2,0.54
7.96,7.98,7.5,1.19,8.1,9.14,7.6,0.96
7.74,6.38,7.2,0.98,7.96,7.98,7.5,1.19
7.64,5.49,6.9,0.86,7.74,6.38,7.2,0.98
7.9,6.01,9.8,0.33,7.64,5.49,6.9,0.86
8.06,6.53,8.6,0.33,7.9,6.01,9.8,0.33
7.68,5.09,9.7,1.05,8.06,6.53,8.6,0.33
7.42,4.74,3.6,0.68,7.68,5.09,9.7,1.05
7.3,4.87,9.0,0.46,7.42,4.74,3.6,0.68
7.28,4.73,7.0,0.24,7.3,4.87,9.0,0.46
7.33,5.25,10.0,0.26,7.28,4.73,7.0,0.24
7.36,5.63,9.2,0.14,7.33,5.25,10.0,0.26
7.36,6.96,8.5,0.08,7.36,5.63,9.2,0.14
7.31,5.0,9.1,0.2,7.36,6.96,8.5,0.08
7.62,5.67,9.6,0.15,7.31,5.0,9.1,0.2
6.91,5.01,5.5,0.12,7.62,5.67,9.6,0.15
7.69,5.56,4.6,0.26,6.91,5.01,5.5,0.12
7.62,5.14,6.1,0.43,7.69,5.56,4.6,0.26
7.76,6.15,4.8,0.37,7.62,5.14,6.1,0.43
7.47,4.3,4.1,0.17,7.76,6.15,4.8,0.37
7.36,5.67,3.8,0.38,7.47,4.3,4.1,0.17
7.11,6.42,5.6,0.5,7.36,5.67,3.8,0.38
7.31,3.84,5.6,0.45,7.11,6.42,5.6,0.5
7.51,5.35,5.8,0.4,7.31,3.84,5.6,0.45
7.03,5.18,5.6,0.48,7.51,5.35,5.8,0.4
7.39,6.83,6.3,0.47,7.03,5.18,5.6,0.48
7.72,5.81,5.4,0.39,7.39,6.83,6.3,0.47
7.71,5.7,4.5,0.32,7.72,5.81,5.4,0.39
8.02,4.34,4.7,0.27,7.71,5.7,4.5,0.32
7.88,5.68,5.9,0.2,8.02,4.34,4.7,0.27
7.87,6.89,4.0,0.2,7.88,5.68,5.9,0.2
7.77,7.51,3.1,0.26,7.87,6.89,4.0,0.2
7.91,11.2,2.9,0.2,7.77,7.51,3.1,0.26
8.28,10.5,5.6,0.26,7.91,11.2,2.9,0.2
8.15,7.16,4.5,0.3,8.28,10.5,5.6,0.26
7.9,6.46,4.4,0.34,8.15,7.16,4.5,0.3
7.95,7.06,4.2,0.23,7.9,6.46,4.4,0.34
8.08,8.91,3.3,0.3,7.95,7.06,4.2,0.23
7.98,7.44,5.1,0.38,8.08,8.91,3.3,0.3
8.14,9.34,5.3,0.29,7.98,7.44,5.1,0.38
8.46,9.96,4.4,0.34,8.14,9.34,5.3,0.29
8.3,9.09,5.0,0.76,8.46,9.96,4.4,0.34
8.15,9.07,3.5,0.7,8.3,9.09,5.0,0.76
8.25,10.4,2.9,0.98,8.15,9.07,3.5,0.7
8.24,10.9,7.9,0.4,8.25,10.4,2.9,0.98
8.18,9.59,6.0,0.41,8.24,10.9,7.9,0.4
8.41,7.24,4.5,0.24,8.18,9.59,6.0,0.41
8.6,9.98,4.9,0.39,8.41,7.24,4.5,0.24
8.7,11.5,3.1,0.26,8.6,9.98,4.9,0.39
8.49,9.65,2.9,0.46,8.7,11.5,3.1,0.26
8.16,8.6,4.8,0.43,8.49,9.65,2.9,0.46
