7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,7.15,8.27,4.6,0.91,7.74,6.69,3.3,0.67
8.13,9.36,4.2,0.52,7.74,6.69,3.3,0.67,7.52,5.69,3.7,0.69
9.0,8.67,4.3,0.48,7.52,5.69,3.7,0.69,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071
8.06,6.5,3.5,0.55,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071
7.22,6.38,3.5,0.52,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071
6.93,6.12,3.5,0.53,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,8.13,9.36,4.2,0.52
6.71,6.75,3.2,0.48,8.13,9.36,4.2,0.52,9.0,8.67,4.3,0.48
6.58,8.17,3.7,0.55,9.0,8.67,4.3,0.48,8.06,6.5,3.5,0.55
7.01,9.07,3.7,0.57,8.06,6.5,3.5,0.55,7.22,6.38,3.5,0.52
7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,7.22,6.38,3.5,0.52,6.93,6.12,3.5,0.53
8.37,10.7,3.9,0.59,6.93,6.12,3.5,0.53,6.71,6.75,3.2,0.48
8.63,13.2,3.9,0.55,6.71,6.75,3.2,0.48,6.58,8.17,3.7,0.55
9.06,13.0,4.6,0.44,6.58,8.17,3.7,0.55,7.01,9.07,3.7,0.57
9.15,11.1,6.0,0.17,7.01,9.07,3.7,0.57,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071
8.72,10.9,4.5,0.19,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,8.37,10.7,3.9,0.59
7.75,9.08,5.4,0.25,8.37,10.7,3.9,0.59,8.63,13.2,3.9,0.55
8.12,9.14,5.7,0.31,8.63,13.2,3.9,0.55,9.06,13.0,4.6,0.44
8.16,10.8,4.8,0.44,9.06,13.0,4.6,0.44,9.15,11.1,6.0,0.17
7.33,10.3,5.1,0.57,9.15,11.1,6.0,0.17,8.72,10.9,4.5,0.19
6.96,10.7,4.6,0.39,8.72,10.9,4.5,0.19,7.75,9.08,5.4,0.25
7.4,11.3,4.3,0.28,7.75,9.08,5.4,0.25,8.12,9.14,5.7,0.31
8.21,12.0,4.0,0.19,8.12,9.14,5.7,0.31,8.16,10.8,4.8,0.44
8.1,11.5,3.6,0.4,8.16,10.8,4.8,0.44,7.33,10.3,5.1,0.57
8.31,14.2,3.2,0.2,7.33,10.3,5.1,0.57,6.96,10.7,4.6,0.39
8.61,14.7,4.4,0.48,6.96,10.7,4.6,0.39,7.4,11.3,4.3,0.28
8.67,15.1,3.8,0.17,7.4,11.3,4.3,0.28,8.21,12.0,4.0,0.19
8.67,14.7,3.3,0.16,8.21,12.0,4.0,0.19,8.1,11.5,3.6,0.4
8.54,13.7,3.7,0.26,8.1,11.5,3.6,0.4,8.31,14.2,3.2,0.2
8.08,13.5,3.6,0.18,8.31,14.2,3.2,0.2,8.61,14.7,4.4,0.48
7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,8.61,14.7,4.4,0.48,8.67,15.1,3.8,0.17
7.3,11.8,3.9,1.01,8.67,15.1,3.8,0.17,8.67,14.7,3.3,0.16
7.48,12.9,3.4,0.8,8.67,14.7,3.3,0.16,8.54,13.7,3.7,0.26
8.59,13.6,3.7,0.51,8.54,13.7,3.7,0.26,8.08,13.5,3.6,0.18
8.41,12.1,3.7,0.23,8.08,13.5,3.6,0.18,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071
8.15,11.3,4.3,0.53,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,7.3,11.8,3.9,1.01
8.21,11.0,4.2,0.57,7.3,11.8,3.9,1.01,7.48,12.9,3.4,0.8
9.04,13.2,4.2,0.22,7.48,12.9,3.4,0.8,8.59,13.6,3.7,0.51
8.12,8.65,4.6,0.48,8.59,13.6,3.7,0.51,8.41,12.1,3.7,0.23
7.45,7.99,3.8,0.45,8.41,12.1,3.7,0.23,8.15,11.3,4.3,0.53
7.69,9.42,3.6,0.47,8.15,11.3,4.3,0.53,8.21,11.0,4.2,0.57
8.42,12.0,4.0,0.12,8.21,11.0,4.2,0.57,9.04,13.2,4.2,0.22
7.8,11.9,3.9,0.16,9.04,13.2,4.2,0.22,8.12,8.65,4.6,0.48
7.76,10.4,3.9,0.36,8.12,8.65,4.6,0.48,7.45,7.99,3.8,0.45
7.96,8.96,3.9,0.08,7.45,7.99,3.8,0.45,7.69,9.42,3.6,0.47
7.83,7.67,4.0,0.09,7.69,9.42,3.6,0.47,8.42,12.0,4.0,0.12
7.96,8.66,4.3,0.09,8.42,12.0,4.0,0.12,7.8,11.9,3.9,0.16
7.26,6.95,3.7,0.1,7.8,11.9,3.9,0.16,7.76,10.4,3.9,0.36
8.41,9.73,4.0,0.1,7.76,10.4,3.9,0.36,7.96,8.96,3.9,0.08
10.1,9.78,4.2,0.08,7.96,8.96,3.9,0.08,7.83,7.67,4.0,0.09
8.72,7.37,5.2,0.11,7.83,7.67,4.0,0.09,7.96,8.66,4.3,0.09
8.06,6.5,3.6,0.11,7.96,8.66,4.3,0.09,7.26,6.95,3.7,0.1
7.76,6.27,2.9,0.09,7.26,6.95,3.7,0.1,8.41,9.73,4.0,0.1
7.61,7.38,2.1,0.11,8.41,9.73,4.0,0.1,10.1,9.78,4.2,0.08
7.66,7.95,2.9,0.16,10.1,9.78,4.2,0.08,8.72,7.37,5.2,0.11
8.04,7.82,2.5,0.13,8.72,7.37,5.2,0.11,8.06,6.5,3.6,0.11
8.54,8.18,3.0,0.15,8.06,6.5,3.6,0.11,7.76,6.27,2.9,0.09
9.28,8.3,3.6,0.19,7.76,6.27,2.9,0.09,7.61,7.38,2.1,0.11
8.13,6.9,2.5,0.29,7.61,7.38,2.1,0.11,7.66,7.95,2.9,0.16
7.46,6.96,2.4,0.3,7.66,7.95,2.9,0.16,8.04,7.82,2.5,0.13
7.35,8.09,2.1,0.08,8.04,7.82,2.5,0.13,8.54,8.18,3.0,0.15
6.72,6.63,2.0,0.14,8.54,8.18,3.0,0.15,9.28,8.3,3.6,0.19
7.2,7.45,1.3,0.19,9.28,8.3,3.6,0.19,8.13,6.9,2.5,0.29
6.67,6.37,2.1,0.18,8.13,6.9,2.5,0.29,7.46,6.96,2.4,0.3
6.6,8.39,1.8,0.15,7.46,6.96,2.4,0.3,7.35,8.09,2.1,0.08
6.77,8.6,1.6,0.18,7.35,8.09,2.1,0.08,6.72,6.63,2.0,0.14
7.34,10.6,2.4,0.14,6.72,6.63,2.0,0.14,7.2,7.45,1.3,0.19
8.8,11.5,3.1,0.21,7.2,7.45,1.3,0.19,6.67,6.37,2.1,0.18
8.41,11.1,3.4,0.12,6.67,6.37,2.1,0.18,6.6,8.39,1.8,0.15
7.9,10.7,3.3,0.14,6.6,8.39,1.8,0.15,6.77,8.6,1.6,0.18
7.36,11.5,3.4,0.14,6.77,8.6,1.6,0.18,7.34,10.6,2.4,0.14
7.45,14.1,3.8,0.14,7.34,10.6,2.4,0.14,8.8,11.5,3.1,0.21
7.16,14.2,3.4,0.15,8.8,11.5,3.1,0.21,8.41,11.1,3.4,0.12
6.75,12.7,2.7,0.19,8.41,11.1,3.4,0.12,7.9,10.7,3.3,0.14
7.58,11.7,2.9,0.26,7.9,10.7,3.3,0.14,7.36,11.5,3.4,0.14
7.55,9.59,4.5,0.92,7.36,11.5,3.4,0.14,7.45,14.1,3.8,0.14
7.68,11.6,3.1,0.26,7.45,14.1,3.8,0.14,7.16,14.2,3.4,0.15
7.36,11.3,2.6,0.32,7.16,14.2,3.4,0.15,6.75,12.7,2.7,0.19
7.63,12.5,2.7,0.54,6.75,12.7,2.7,0.19,7.58,11.7,2.9,0.26
7.11,11.5,2.8,1.25,7.58,11.7,2.9,0.26,7.55,9.59,4.5,0.92
7.01,12.7,2.3,0.43,7.55,9.59,4.5,0.92,7.68,11.6,3.1,0.26
6.95,12.1,2.4,0.86,7.68,11.6,3.1,0.26,7.36,11.3,2.6,0.32
7.33,12.3,3.3,0.87,7.36,11.3,2.6,0.32,7.63,12.5,2.7,0.54
7.63,11.5,3.1,1.33,7.63,12.5,2.7,0.54,7.11,11.5,2.8,1.25
7.81,13.2,2.8,0.69,7.11,11.5,2.8,1.25,7.01,12.7,2.3,0.43
7.72,13.8,3.5,0.59,7.01,12.7,2.3,0.43,6.95,12.1,2.4,0.86
6.99,11.7,2.8,0.19,6.95,12.1,2.4,0.86,7.33,12.3,3.3,0.87
7.24,11.2,2.6,0.22,7.33,12.3,3.3,0.87,7.63,11.5,3.1,1.33
8.38,11.4,2.9,0.17,7.63,11.5,3.1,1.33,7.81,13.2,2.8,0.69
8.37,10.2,3.2,0.16,7.81,13.2,2.8,0.69,7.72,13.8,3.5,0.59
7.25,7.64,3.2,0.3,7.72,13.8,3.5,0.59,6.99,11.7,2.8,0.19
8.08,7.9,3.7,0.4,6.99,11.7,2.8,0.19,7.24,11.2,2.6,0.22
8.12,7.99,3.7,0.26,7.24,11.2,2.6,0.22,8.38,11.4,2.9,0.17
7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,8.38,11.4,2.9,0.17,8.37,10.2,3.2,0.16
7.49,7.02,4.0,0.2,8.37,10.2,3.2,0.16,7.25,7.64,3.2,0.3
7.71,8.79,3.3,0.2,7.25,7.64,3.2,0.3,8.08,7.9,3.7,0.4
8.34,9.31,3.8,0.2,8.08,7.9,3.7,0.4,8.12,7.99,3.7,0.26
8.34,9.26,4.9,0.34,8.12,7.99,3.7,0.26,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071
8.18,8.28,4.5,0.58,7.683088642659282,9.044473684210532,4.296121883656514,0.4421191135734071,7.49,7.02,4.0,0.2
8.52,8.55,4.3,0.19,7.49,7.02,4.0,0.2,7.71,8.79,3.3,0.2
9.26,8.44,4.7,0.19,7.71,8.79,3.3,0.2,8.34,9.31,3.8,0.2
9.23,9.56,3.7,0.21,8.34,9.31,3.8,0.2,8.34,9.26,4.9,0.34
7.87,7.51,3.7,0.24,8.34,9.26,4.9,0.34,8.18,8.28,4.5,0.58
7.79,6.82,2.9,0.24,8.18,8.28,4.5,0.58,8.52,8.55,4.3,0.19
8.86,8.9,2.7,0.21,8.52,8.55,4.3,0.19,9.26,8.44,4.7,0.19
8.36,8.64,3.3,0.21,9.26,8.44,4.7,0.19,9.23,9.56,3.7,0.21
7.91,8.54,2.6,0.23,9.23,9.56,3.7,0.21,7.87,7.51,3.7,0.24
8.16,8.92,3.0,0.22,7.87,7.51,3.7,0.24,7.79,6.82,2.9,0.24
9.04,9.47,3.4,0.3,7.79,6.82,2.9,0.24,8.86,8.9,2.7,0.21
9.66,9.93,3.6,0.27,8.86,8.9,2.7,0.21,8.36,8.64,3.3,0.21
9.46,9.3,2.6,0.13,8.36,8.64,3.3,0.21,7.91,8.54,2.6,0.23
9.15,7.29,3.6,0.18,7.91,8.54,2.6,0.23,8.16,8.92,3.0,0.22
7.49,6.62,2.9,0.34,8.16,8.92,3.0,0.22,9.04,9.47,3.4,0.3
7.16,7.77,3.0,0.2,9.04,9.47,3.4,0.3,9.66,9.93,3.6,0.27
7.26,8.25,2.4,0.17,9.66,9.93,3.6,0.27,9.46,9.3,2.6,0.13
7.29,7.48,2.7,0.18,9.46,9.3,2.6,0.13,9.15,7.29,3.6,0.18
8.12,9.37,2.7,0.2,9.15,7.29,3.6,0.18,7.49,6.62,2.9,0.34
7.34,7.36,2.6,0.18,7.49,6.62,2.9,0.34,7.16,7.77,3.0,0.2
7.1,8.4,2.7,0.2,7.16,7.77,3.0,0.2,7.26,8.25,2.4,0.17
7.35,11.0,2.6,0.21,7.26,8.25,2.4,0.17,7.29,7.48,2.7,0.18
7.86,13.0,3.1,0.24,7.29,7.48,2.7,0.18,8.12,9.37,2.7,0.2
7.71,8.8,4.4,0.47,8.12,9.37,2.7,0.2,7.34,7.36,2.6,0.18
7.93,10.7,3.8,0.81,7.34,7.36,2.6,0.18,7.1,8.4,2.7,0.2
