7.87,10.5,6.9,0.43,8.37,8.53,6.4,0.28,8.55,8.77,5.2,0.27,8.52,8.58,9.0,0.34
7.83,11.2,3.6,0.53,8.55,8.77,5.2,0.27,8.52,8.58,9.0,0.34,8.36,9.24,8.5,0.34
7.84,11.2,3.1,0.47,8.52,8.58,9.0,0.34,8.36,9.24,8.5,0.34,7.87,10.5,6.9,0.43
7.89,11.1,3.0,0.44,8.36,9.24,8.5,0.34,7.87,10.5,6.9,0.43,7.83,11.2,3.6,0.53
8.22,11.2,1.7,0.5,7.87,10.5,6.9,0.43,7.83,11.2,3.6,0.53,7.84,11.2,3.1,0.47
8.18,11.3,1.8,0.42,7.83,11.2,3.6,0.53,7.84,11.2,3.1,0.47,7.89,11.1,3.0,0.44
7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.84,11.2,3.1,0.47,7.89,11.1,3.0,0.44,8.22,11.2,1.7,0.5
7.87,11.4,3.3,0.26,7.89,11.1,3.0,0.44,8.22,11.2,1.7,0.5,8.18,11.3,1.8,0.42
7.74,11.3,2.3,0.27,8.22,11.2,1.7,0.5,8.18,11.3,1.8,0.42,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349
7.93,10.6,3.3,0.23,8.18,11.3,1.8,0.42,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.87,11.4,3.3,0.26
7.83,9.88,3.9,0.19,7.348628808864261,8.515027700831029,2.8885041551246506,0.260387811634349,7.87,11.4,3.3,0.26,7.74,11.3,2.3,0.27
7.76,9.86,4.3,0.22,7.87,11.4,3.3,0.26,7.74,11.3,2.3,0.27,7.93,10.6,3.3,0.23
7.69,9.91,4.2,0.21,7.74,11.3,2.3,0.27,7.93,10.6,3.3,0.23,7.83,9.88,3.9,0.19
7.67,8.96,3.1,0.2,7.93,10.6,3.3,0.23,7.83,9.88,3.9,0.19,7.76,9.86,4.3,0.22
7.65,8.36,2.3,0.19,7.83,9.88,3.9,0.19,7.76,9.86,4.3,0.22,7.69,9.91,4.2,0.21
7.6,8.38,4.1,0.17,7.76,9.86,4.3,0.22,7.69,9.91,4.2,0.21,7.67,8.96,3.1,0.2
7.61,7.48,2.5,0.17,7.69,9.91,4.2,0.21,7.67,8.96,3.1,0.2,7.65,8.36,2.3,0.19
7.44,6.68,3.0,0.2,7.67,8.96,3.1,0.2,7.65,8.36,2.3,0.19,7.6,8.38,4.1,0.17
7.46,7.34,2.6,0.23,7.65,8.36,2.3,0.19,7.6,8.38,4.1,0.17,7.61,7.48,2.5,0.17
7.45,6.02,5.5,0.34,7.6,8.38,4.1,0.17,7.61,7.48,2.5,0.17,7.44,6.68,3.0,0.2
7.5,6.2,3.3,0.17,7.61,7.48,2.5,0.17,7.44,6.68,3.0,0.2,7.46,7.34,2.6,0.23
